ID,IUPACName,SMILES,CoreSMILES,State,InChIKey,Supplier,Purity,Molarity,E0_pH0,E0_pH7,E0_pH13,Peak_current_ratio_pH0,Peak_current_ratio_pH7,Peak_current_ratio_pH13,Solubility_1MH2SO4,Solubility_1MKCl,Solubility_1MKOH,Reversebility_pH0,Reversebility_pH7,Reversebility_pH13
1,"9,10-anthraquinone-2,7-disulfonic acid",O=C1c2ccc(S(=O)(=O)O)cc2C(=O)c2cc(S(=O)(=O)O)ccc21,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,OKONMFPEKSWGEU-UHFFFAOYSA-N,TCI,0.95,412.29,0.1655,-0.161,-0.2812,0.71,0.563,0.967,1.01,0.245,0.55,quasireversible,quasireversible,reversible
2,"9,10-dioxoanthracene-1,5-disulfonic acid",O=C1c2cccc(S(=O)(=O)O)c2C(=O)c2cccc(S(=O)(=O)O)c21,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,OZTBHAGJSKTDGM-UHFFFAOYSA-N,TCI,0.98,412.29,-0.034,-0.161,-0.5012,1.71,0.493,1.174,0.115,0.021,< 0.01,quasireversible,quasireversible,reversible
3,"9,10-dioxoanthracene-1,8-disulfonic acid",O=C1c2cccc(S(=O)(=O)O)c2C(=O)c2c1cccc2S(=O)(=O)O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,IJNPIHLZSZCGOC-UHFFFAOYSA-N,TCI,0.98,444.51,0.0274,-0.2327,-0.4644,1.047,0.41,1.03,0.021,0.016,0.022,quasireversible,quasireversible,reversible
4,"9,10-dioxoanthracene-2-sulfonic acid",O=C1c2ccccc2C(=O)c2cc(S(=O)(=O)O)ccc21,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,MMNWSHJJPDXKCH-UHFFFAOYSA-N,Sigma-Aldrich,0.98,310.26,0.1633,-0.2081,-0.3343,1.01,0.881,1.22,0.59,0.305,0.325,reversible,reversible,reversible
5,"3,4-dihydroxy-9,10-dioxoanthracene-2-sulfonic acid",O=C1c2ccccc2C(=O)c2c1cc(S(=O)(=O)O)c(O)c2O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,JKYKXTRKURYNGW-UHFFFAOYSA-N,Sigma-Aldrich,0.99,342.26,0.0154,-0.3471,-0.69182,0.91,0.856,1.11,0.019,< 0.01,0.535,quasireversible,quasireversible,quasireversible
6,"1-amino-4-bromo-9,10-dioxoanthracene-2-sulfonic acid",Nc1c(S(=O)(=O)O)cc(Br)c2c1C(=O)c1ccccc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,QZZSAWGVHXXMID-UHFFFAOYSA-N,AK Scientific,0.98,404.171,0.144,-0.35,-0.52,0.41,,,0.026,< 0.01,< 0.01,quasireversible,quasireversible,quasireversible
7,"3,4-dioxonaphthalene-1-sulfonic acid",O=C1C=C(S(=O)(=O)O)c2ccccc2C1=O,O=C1C=Cc2ccccc2C1=O,Oxidized,PZTGRDMCBZUJDL-UHFFFAOYSA-N,TCI,0.98,260.19,0.551,0.245,-0.0814,0.81,0.523,0.91,0.17,0.01,0.865,quasireversible,quasireversible,quasireversible
8,"4-hydroxy-3-(3-methylbut-2-enyl)naphthalene-1,2-dione",CC(C)=CCC1=C(O)c2ccccc2C(=O)C1=O,O=C1C=Cc2ccccc2C1=O,Oxidized,CWPGNVFCJOPXFB-UHFFFAOYSA-N,Santa Cruz Biotechnology ,,242.27,0.3333,-0.1287,-0.433,,1.085,0.384,< 0.01,< 0.01,0.665,quasireversible,reversible,quasireversible
9,"4-hydroxynaphthalene-1,2-dione",O=C1C=C(O)c2ccccc2C1=O,O=C1C=Cc2ccccc2C1=O,Oxidized,WVCHIGAIXREVNS-UHFFFAOYSA-N,TCI,0.98,174.16,0.3084,-0.1943,-0.481,0.818,1.23,0.736,< 0.01,< 0.01,0.89,quasireversible,quasireversible,quasireversible
10,"2,3-dichloro-5,8-dihydroxynaphthalene-1,4-dione",O=C1C(Cl)=C(Cl)C(=O)c2c(O)ccc(O)c21,O=C1C=CC(=O)c2ccccc21,Oxidized,UVESKDKGJSABKP-UHFFFAOYSA-N,TCI,0.97,259.04,,,0.4,,,,< 0.01,< 0.01,< 0.01,irreversible,,irreversible
11,"2,6-dihydroxyanthracene-9,10-dione",O=C1c2ccc(O)cc2C(=O)c2ccc(O)cc21,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,APAJFZPFBHMFQR-UHFFFAOYSA-N,AK Scientific ,0.9,240.21,0.0394,-0.381,-0.7016,0.834,0.91,1.11,< 0.01,< 0.01,0.555,,,reversible
12,"1,8-dihydroxyanthracene-9,10-dione",O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,QBPFLULOKWLNNW-UHFFFAOYSA-N,TCI,0.98,240.21,-0.03,-0.3653,-0.5374,,,1.01,< 0.01,< 0.01,< 0.01,,,reversible
