ID,IUPACName,SMILES,CoreSMILES,State,InChIKey,E0(VvsSHE),G_solv
1,"1,2,3,4,5,6,7,8-octahydroxyanthracene-9,10-dione",O=C1c2c(O)c(O)c(O)c(O)c2C(=O)c2c(O)c(O)c(O)c(O)c21,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,KOWBNNJAGJIIJW-UHFFFAOYSA-N,-0.81,-92.83
2,,O=C1C(O)=C(O)C(O)=C2C(=O)C3C(=C(O)C(O)=C(O)C3O)C(O)C12,,,BBRQGRPAXIEVRZ-UHFFFAOYSA-N,-0.75,-103.41
3,,O=C1C(O)=C(O)C(O)=C2C(O)C3C(=O)C(O)=C(O)C(O)=C3C(O)C12,,,IOTSYUCWJZMNPE-UHFFFAOYSA-N,-0.75,-103.53
4,"1,2,3,4,5,6,7,8-octahydroxyanthracene-9,10-dione",O=C1c2c(O)c(O)c(O)c(O)c2C(=O)c2c(O)c(O)c(O)c(O)c21,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,KOWBNNJAGJIIJW-UHFFFAOYSA-N,-0.74,-92.67
5,"1,2,3,4,5,6,7,8-octahydroxyanthracene-9,10-dione",O=C1c2c(O)c(O)c(O)c(O)c2C(=O)c2c(O)c(O)c(O)c(O)c21,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,KOWBNNJAGJIIJW-UHFFFAOYSA-N,-0.69,-92.66
6,"1,2,3,4,5,6,7,8-octaaminoanthracene-9,10-dione",Nc1c(N)c(N)c2c(c1N)C(=O)c1c(N)c(N)c(N)c(N)c1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,LAVJTJBXKPEYEV-UHFFFAOYSA-N,-0.51,-127.84
7,,NC1=C(N)C(=O)c2c(c(N)c3c(N)c(N)c(N)c(N)c3c2N)C1=O,O=C1C=CC(=O)c2cc3ccccc3cc21,Oxidized,RBIKRLOEDNGLLA-UHFFFAOYSA-N,-0.39,-125.38
8,,NC1=C(N)C(N)=C2C(=O)c3c(N)c(N)c(N)c(N)c3C(N)=C2C1=O,O=C1C=CC=C2C(=O)c3ccccc3C=C12,Oxidized,IZHUFMJVZUCEHV-UHFFFAOYSA-N,-0.37,-126.65
9,,NC1=C(N)C2=C(N)c3c(N)c(N)c(N)c(N)c3C(=O)C2=C(N)C1=O,O=C1C=CC2=Cc3ccccc3C(=O)C2=C1,Oxidized,PNTBXZJFBAZQDG-UHFFFAOYSA-N,-0.35,-127.01
10,,NC1=C(N)C(N)=c2c(N)c3c(c(N)c2C1=O)=C(N)C(N)=C(N)C3=O,O=C1C=CC=c2cc3c(cc21)=CC=CC3=O,Oxidized,BAELXLCDGWSLTK-UHFFFAOYSA-N,-0.34,-131.98
11,,NC1=C(N)c2c(N)c3c(c(N)c2=C(N)C1=O)C(N)=C(N)C(=O)C=3N,O=C1C=Cc2cc3c(cc2=C1)C=CC(=O)C=3,Oxidized,REZGKOSQKFSOBF-UHFFFAOYSA-N,-0.32,-126.9
12,,NC1=C(N)C(N)=c2c(N)c3c(c(N)c2C1=O)=C(N)C(=O)C(N)=C3N,O=C1C=Cc2cc3c(cc2=C1)C(=O)C=CC=3,Oxidized,GNVXVJMECPDWOK-UHFFFAOYSA-N,-0.3,-129.44
13,,O=C1c2c(S)c(S)c(S)c(S)c2C(=O)c2c(S)c(S)c(S)c(S)c21,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,XGPFRWGYKMRMPT-UHFFFAOYSA-N,-0.3,-12.62
14,"1,2,3,4,5,6,7,8-octahydroxyanthracene-9,10-dione",O=C1c2c(O)c(O)c(O)c(O)c2C(=O)c2c(O)c(O)c(O)c(O)c21,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,KOWBNNJAGJIIJW-UHFFFAOYSA-N,-0.29,-64.95
15,"3,4,5,6,7,8-hexahydroxynaphthalene-1,2-dione",O=C1C(=O)c2c(O)c(O)c(O)c(O)c2C(O)=C1O,O=C1C=Cc2ccccc2C1=O,Oxidized,FJSQLIDCSDJZFC-UHFFFAOYSA-N,-0.29,-107.1
16,,O=CC1=C(C=O)C(C=O)=c2c(C=O)c3c(c(C=O)c2C1=O)=C(C=O)C(C=O)=C(C=O)C3=O,O=C1C=CC=c2cc3c(cc21)=CC=CC3=O,Oxidized,KOQNBLNVURTNDT-UHFFFAOYSA-N,-0.28,-70.39
17,,NC1=C(N)C(N)=C2C(=O)C(N)=C(N)C(N)=C2C1=O,O=C1C=CC=C2C(=O)C=CC=C12,Oxidized,YBUSADFGMQMVSB-UHFFFAOYSA-N,-0.26,-106.22
18,"2,3,5,6,7,8-hexaaminonaphthalene-1,4-dione",NC1=C(N)C(=O)c2c(N)c(N)c(N)c(N)c2C1=O,O=C1C=CC(=O)c2ccccc21,Oxidized,JMHRGXJQFFWBDY-UHFFFAOYSA-N,-0.22,-105.6
19,,O=C1C(S)=C(S)C(S)=C2C(=O)c3c(S)c(S)c(S)c(S)c3C(S)=C12,O=C1C=CC=C2C(=O)c3ccccc3C=C12,Oxidized,QLSMNLGZAWZGGG-UHFFFAOYSA-N,-0.21,-15.64
20,,O=C1C(S)=C(S)C(=O)c2c1c(S)c1c(S)c(S)c(S)c(S)c1c2S,O=C1C=CC(=O)c2cc3ccccc3cc21,Oxidized,PYDABBLGMBPBAG-UHFFFAOYSA-N,-0.2,-7.56
21,,O=C1C(S)=C(S)C(S)=C2C(=O)C(S)=C(S)C(S)=C12,O=C1C=CC=C2C(=O)C=CC=C12,Oxidized,ZBABQQITYXFPPO-UHFFFAOYSA-N,-0.2,-13.57
22,,NC1=C(N)C2=C(N)C(=O)C(N)=C(N)C2=C(N)C1=O,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,NRNUTNWLRJMXDG-UHFFFAOYSA-N,-0.18,-100.88
23,,O=C1c2c([SiH3])c([SiH3])c([SiH3])c([SiH3])c2C(=O)c2c([SiH3])c([SiH3])c([SiH3])c([SiH3])c21,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,HXKSGVRWOMOXAA-UHFFFAOYSA-N,-0.17,14.03
24,"1,2,3,4,5,6,7,8-octamethylanthracene-9,10-dione",Cc1c(C)c(C)c2c(c1C)C(=O)c1c(C)c(C)c(C)c(C)c1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,XHXSXTIIDBZEKB-UHFFFAOYSA-N,-0.17,-23.52
25,,O=C1C(S)=C(S)C(S)=c2c(S)c3c(c(S)c21)=C(S)C(S)=C(S)C3=O,O=C1C=CC=c2cc3c(cc21)=CC=CC3=O,Oxidized,UVFPITSKPNVSLU-UHFFFAOYSA-N,-0.16,-19.99
26,,O=C1C(S)=C(S)C(=O)c2c(S)c(S)c(S)c(S)c21,O=C1C=CC(=O)c2ccccc21,Oxidized,ZYYGCNRVTDYNNA-UHFFFAOYSA-N,-0.14,-17.02
27,,NC1=C(N)C(N)=C2C(N)=C(N)C(=O)C(N)=C2C1=O,O=C1C=CC2=CC=CC(=O)C2=C1,Oxidized,ZOWLHRDAYZKRBD-UHFFFAOYSA-N,-0.09,-104.51
28,,O=C1C2=C(P(=O)(O)O)c3c(c(P(=O)(O)O)c(P(=O)(O)O)c(P(=O)(O)O)c3P(=O)(O)O)C(=O)C2=C(P(=O)(O)O)C(P(=O)(O)O)=C1P(=O)(O)O,O=C1C=CC=C2C(=O)c3ccccc3C=C12,Oxidized,KNTSANBEGOBMHZ-UHFFFAOYSA-N,-0.08,-306.07
