ID,IUPACName,SMILES,CoreSMILES,State,InChIKey,E0expvs.SHE(V)pH=0
1,,O=C1c2c(O)ccc(O)c2C(=O)c2c(O)c(CS(=O)(=O)O)c(CS(=O)(=O)O)c(O)c21,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,XOILIMXGOXLVJN-UHFFFAOYSA-N,0.02
2,"2-[1,4,9,10-tetrahydroxy-3-(2-sulfoethylsulfanyl)anthracen-2-yl]sulfanylethanesulfonic acid",O=S(=O)(O)CCSc1c(SCCS(=O)(=O)O)c(O)c2c(O)c3ccccc3c(O)c2c1O,Oc1c2ccccc2c(O)c2ccccc12,Reduced,JBGLWPSRQLZCGW-UHFFFAOYSA-N,0.113
3,"1,4,9,10-tetrahydroxyanthracene-2-sulfonic acid",O=S(=O)(O)c1cc(O)c2c(O)c3ccccc3c(O)c2c1O,Oc1c2ccccc2c(O)c2ccccc12,Reduced,USMQGVBVJDEZQS-UHFFFAOYSA-N,0.09
4,"3,4,9,10-tetrahydroxyanthracene-2-sulfonic acid",O=S(=O)(O)c1cc2c(O)c3ccccc3c(O)c2c(O)c1O,Oc1c2ccccc2c(O)c2ccccc12,Reduced,DHBCYVQFCOFCDY-UHFFFAOYSA-N,0.06
5,"anthracene-9,10-diol",Oc1c2ccccc2c(O)c2ccccc12,Oc1c2ccccc2c(O)c2ccccc12,Reduced,PCFMUWBCZZUMRX-UHFFFAOYSA-N,0.09
6,"9,10-dihydroxyanthracene-1-sulfonic acid",O=S(=O)(O)c1cccc2c(O)c3ccccc3c(O)c12,Oc1c2ccccc2c(O)c2ccccc12,Reduced,XBPBWWZIWUAGIT-UHFFFAOYSA-N,0.195
7,,O=C1c2c(O)cc(S(=O)(=O)O)c(O)c2C(=O)c2c(O)c(S(=O)(=O)O)cc(O)c21,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,QRXCXDANJSIYIA-UHFFFAOYSA-N,0.118
8,"1,5-dihydroxy-9,10-dioxoanthracene-2,6-disulfonic acid",O=C1c2ccc(S(=O)(=O)O)c(O)c2C(=O)c2ccc(S(=O)(=O)O)c(O)c21,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,AWVNGKBCZDBCJB-UHFFFAOYSA-N,0.206
9,,O=C1c2c(O)cc(S(=O)(=O)O)c(O)c2C(=O)c2c(O)cc(S(=O)(=O)O)c(O)c21,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,IWDMKBVESNUBMU-UHFFFAOYSA-N,0.116
10,,O=C1c2c(O)c(S(=O)(=O)O)cc(O)c2C(=O)c2c(O)c(S(=O)(=O)O)c(O)c(O)c21,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,AXLKNUJHPAYNBN-UHFFFAOYSA-N,0.133
11,"9,10-dihydroxyanthracene-1,5-disulfonic acid",O=S(=O)(O)c1cccc2c(O)c3c(S(=O)(=O)O)cccc3c(O)c12,Oc1c2ccccc2c(O)c2ccccc12,Reduced,DERMOXMEGYVRDR-UHFFFAOYSA-N,0.239
