ID,IUPACName,SMILES,CoreSMILES,State,InChIKey,Value
1,"N,N-dimethylphenazin-1-amine",CN(C)c1cccc2nc3ccccc3nc12,c1ccc2nc3ccccc3nc2c1,Oxidized,CEDNDDGQSKDTPV-UHFFFAOYSA-N,-1.85
2,"N,N-dimethylphenazin-2-amine",CN(C)c1ccc2nc3ccccc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,LKWXMSXBNAPAEY-UHFFFAOYSA-N,-1.98
3,phenazin-1-amine,Nc1cccc2nc3ccccc3nc12,c1ccc2nc3ccccc3nc2c1,Oxidized,QWUFXJHVFNRNCU-UHFFFAOYSA-N,-1.85
4,phenazin-2-amine,Nc1ccc2nc3ccccc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,RHQTYDDJBYBCQV-UHFFFAOYSA-N,-1.92
5,phenazin-1-ol,Oc1cccc2nc3ccccc3nc12,c1ccc2nc3ccccc3nc2c1,Oxidized,SVRNCBGWUMMBQB-UHFFFAOYSA-N,-1.69
6,phenazin-2-ol,Oc1ccc2nc3ccccc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,RETSEGNZNUBJRB-UHFFFAOYSA-N,-1.81
7,1-methoxyphenazine,COc1cccc2nc3ccccc3nc12,c1ccc2nc3ccccc3nc2c1,Oxidized,ZYDGCYWJDWIJCS-UHFFFAOYSA-N,-1.75
8,2-methoxyphenazine,COc1ccc2nc3ccccc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,YGSXHEXJOFMTHZ-UHFFFAOYSA-N,-1.86
9,,CP(C)c1cccc2nc3ccccc3nc12,c1ccc2nc3ccccc3nc2c1,Oxidized,BXCDNOYSSORHCM-UHFFFAOYSA-N,-1.74
10,,CP(C)c1ccc2nc3ccccc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,MULBIORVKAPPDD-UHFFFAOYSA-N,-1.75
11,,C[SH](C)c1cccc2nc3ccccc3nc12,c1ccc2nc3ccccc3nc2c1,Oxidized,FPTPHNMRYZWWDN-UHFFFAOYSA-N,-1.74
12,,C[SH](C)c1ccc2nc3ccccc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,HYGRGRGXMBVARQ-UHFFFAOYSA-N,-1.77
13,phenazine-1-thiol,Sc1cccc2nc3ccccc3nc12,c1ccc2nc3ccccc3nc2c1,Oxidized,QPIFETXHIULAKW-UHFFFAOYSA-N,-1.66
14,phenazine-2-thiol,Sc1ccc2nc3ccccc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,JPBLYKSRHLGTSA-UHFFFAOYSA-N,-1.72
15,1-ethenylphenazine,C=Cc1cccc2nc3ccccc3nc12,c1ccc2nc3ccccc3nc2c1,Oxidized,QHCNQGTWDLBFHJ-UHFFFAOYSA-N,-1.73
16,2-ethenylphenazine,C=Cc1ccc2nc3ccccc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,LRQPWFIAWJZCDV-UHFFFAOYSA-N,-1.72
17,1-phenylphenazine,c1ccc(-c2cccc3nc4ccccc4nc23)cc1,c1ccc2nc3ccccc3nc2c1,Oxidized,OSZBRXNBKKWJOM-UHFFFAOYSA-N,-1.76
18,2-phenylphenazine,c1ccc(-c2ccc3nc4ccccc4nc3c2)cc1,c1ccc2nc3ccccc3nc2c1,Oxidized,NTPVRWXRAFYAGS-UHFFFAOYSA-N,-1.73
19,1-methylphenazine,Cc1cccc2nc3ccccc3nc12,c1ccc2nc3ccccc3nc2c1,Oxidized,WBVSERCLMQZOBK-UHFFFAOYSA-N,-1.79
20,2-methylphenazine,Cc1ccc2nc3ccccc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,OPRPTWWUMRGFMA-UHFFFAOYSA-N,-1.79
21,1-fluorophenazine,Fc1cccc2nc3ccccc3nc12,c1ccc2nc3ccccc3nc2c1,Oxidized,FVBUPJIWGKVQPW-UHFFFAOYSA-N,-1.63
22,2-fluorophenazine,Fc1ccc2nc3ccccc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,IAGQFKKPPASHTB-UHFFFAOYSA-N,-1.68
23,1-chlorophenazine,Clc1cccc2nc3ccccc3nc12,c1ccc2nc3ccccc3nc2c1,Oxidized,RPOUGULCGNMIBX-UHFFFAOYSA-N,-1.61
24,2-chlorophenazine,Clc1ccc2nc3ccccc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,LYZDGXICDJEHAD-UHFFFAOYSA-N,-1.63
25,phenazine-1-carbaldehyde,O=Cc1cccc2nc3ccccc3nc12,c1ccc2nc3ccccc3nc2c1,Oxidized,GRDYUWLUJYJVRO-UHFFFAOYSA-N,-1.5
26,phenazine-2-carbaldehyde,O=Cc1ccc2nc3ccccc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,PMZHOEAOCLBADK-UHFFFAOYSA-N,-1.51
27,1-phenazin-1-ylethanone,CC(=O)c1cccc2nc3ccccc3nc12,c1ccc2nc3ccccc3nc2c1,Oxidized,HWRLUCKYMWCCLN-UHFFFAOYSA-N,-1.58
28,1-phenazin-2-ylethanone,CC(=O)c1ccc2nc3ccccc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,PNIQMNMSPCOMOD-UHFFFAOYSA-N,-1.55
29,phenazine-1-carboxamide,NC(=O)c1cccc2nc3ccccc3nc12,c1ccc2nc3ccccc3nc2c1,Oxidized,KPZYYKDXZKFBQU-UHFFFAOYSA-N,-1.52
30,phenazine-2-carboxamide,NC(=O)c1ccc2nc3ccccc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,HBUAKGFNHSQHSX-UHFFFAOYSA-N,-1.63
