ID,IUPACName,SMILES,CoreSMILES,State,InchIKey,HOMOLUMO,SFE,pred_hl,pred_sfe
1,"anthracene-1,10-dione",O=C1C=CC=C2C(=O)c3ccccc3C=C12,O=C1C=CC=C2C(=O)c3ccccc3C=C12,Oxidized,KRLBTHCAZSDQCI-UHFFFAOYSA-N,6.032,-9.87156757,6.10388759999999,-9.823029
2,,CN(C)C1=CC=C2C(=O)c3ccccc3C=C2C1=O,O=C1C=CC=C2C(=O)c3ccccc3C=C12,Oxidized,RXUNKHRBRSUUCU-UHFFFAOYSA-N,5.919,-11.5816685,6.056079,-11.541681
3,,C=CC1=CC=C2C(=O)c3ccccc3C=C2C1=O,O=C1C=CC=C2C(=O)c3ccccc3C=C12,Oxidized,KIYGILYPWJPXFA-UHFFFAOYSA-N,6.093,-9.494920901,6.0786023,-9.97004
4,,O=CC1=CC=C2C(=O)c3ccccc3C=C2C1=O,O=C1C=CC=C2C(=O)c3ccccc3C=C12,Oxidized,YZWSJXAPEWXROF-UHFFFAOYSA-N,6.33299999999999,-12.42401177,6.188891,-12.742516
5,,COC(=O)C1=CC=C2C(=O)c3ccccc3C=C2C1=O,O=C1C=CC=C2C(=O)c3ccccc3C=C12,Oxidized,RTLYGFZEFXWLSR-UHFFFAOYSA-N,6.351,-15.32205353,6.2642784,-15.18167
6,,O=C1C2=Cc3ccccc3C(=O)C2=CC=C1C(F)(F)F,O=C1C=CC=C2C(=O)c3ccccc3C=C12,Oxidized,XAUJKDQOAUUKAK-UHFFFAOYSA-N,6.37,-10.07320848,6.1969194,-9.887071
7,,N#CC1=CC=C2C(=O)c3ccccc3C=C2C1=O,O=C1C=CC=C2C(=O)c3ccccc3C=C12,Oxidized,FUYNXYDGPIUMIL-UHFFFAOYSA-N,6.393,-14.03855127,6.295341,-13.7874489999999
8,,O=C1C2=Cc3ccccc3C(=O)C2=CC=C1C(O)O,O=C1C=CC=C2C(=O)c3ccccc3C=C12,Oxidized,GBLBDFWTPJMMEV-UHFFFAOYSA-N,6.474,-13.26177728,6.2154465,-13.5998369999999
9,,O=C1C(OP(O)O)=CC=C2C(=O)c3ccccc3C=C12,O=C1C=CC=C2C(=O)c3ccccc3C=C12,Oxidized,HFEVVFMMIIKEPF-UHFFFAOYSA-N,6.491,-15.3234834,6.2896914,-15.114514
10,,O=C1C(OS(=O)O)=CC=C2C(=O)c3ccccc3C=C12,O=C1C=CC=C2C(=O)c3ccccc3C=C12,Oxidized,UYXLGKCWZDLAIO-UHFFFAOYSA-N,6.49299999999999,-14.49594338,6.1524024,-14.812373
11,,O=NOC1=CC=C2C(=O)c3ccccc3C=C2C1=O,O=C1C=CC=C2C(=O)c3ccccc3C=C12,Oxidized,UZEYHVZRMCCKRI-UHFFFAOYSA-N,6.34399999999999,-11.56612813,6.318686,-11.790206
12,10-hydroxy-2-iminoanthracen-1-one,N=C1C=Cc2c(cc3ccccc3c2O)C1=O,,,SDFODANOXNMUEA-UHFFFAOYSA-N,6.21299999999999,-12.55039697,6.189948,-12.64687
13,,COC1=CC=C2C(=O)c3ccccc3C=C2C1=O,O=C1C=CC=C2C(=O)c3ccccc3C=C12,Oxidized,ORELHNAPABWIKF-UHFFFAOYSA-N,6.58899999999999,-9.660193673,6.344853,-11.095005
14,"10-hydroxyanthracene-1,2-dione",O=C1C=Cc2c(cc3ccccc3c2O)C1=O,O=C1C=Cc2cc3ccccc3cc2C1=O,Oxidized,RRYWNGNNDBKXCT-UHFFFAOYSA-N,6.77,-13.99774087,6.36550759999999,-13.00346
15,,O=C1C(S)=CC=C2C(=O)c3ccccc3C=C12,O=C1C=CC=C2C(=O)c3ccccc3C=C12,Oxidized,LBPFMRYNWDAZHW-UHFFFAOYSA-N,6.026,-10.02093527,5.902832,-10.519528
16,"2-methylanthracene-1,10-dione",CC1=CC=C2C(=O)c3ccccc3C=C2C1=O,O=C1C=CC=C2C(=O)c3ccccc3C=C12,Oxidized,OQLUYOWSACNSSZ-UHFFFAOYSA-N,6.102,-10.03971159,6.2443132,-9.83221
17,,O=C1C(F)=CC=C2C(=O)c3ccccc3C=C12,O=C1C=CC=C2C(=O)c3ccccc3C=C12,Oxidized,XZQWJIUQOKTLAM-UHFFFAOYSA-N,6.562,-9.548270846,6.322529,-9.594609
18,,O=C1C(Cl)=CC=C2C(=O)c3ccccc3C=C12,O=C1C=CC=C2C(=O)c3ccccc3C=C12,Oxidized,VGIHAHRGYKGAHH-UHFFFAOYSA-N,6.476,-9.450469572,6.2939773,-9.685818
19,,CN(C)C1=CC(=O)C2=Cc3ccccc3C(=O)C2=C1,O=C1C=CC=C2C(=O)c3ccccc3C=C12,Oxidized,PMSODXZJGIOGLT-UHFFFAOYSA-N,5.874,-13.38300003,5.9770007,-12.969169
20,,C=CC1=CC(=O)C2=Cc3ccccc3C(=O)C2=C1,O=C1C=CC=C2C(=O)c3ccccc3C=C12,Oxidized,OOHJTAUSSDHZTN-UHFFFAOYSA-N,5.967,-10.20175574,6.117438,-10.0274
21,,O=CC1=CC(=O)C2=Cc3ccccc3C(=O)C2=C1,O=C1C=CC=C2C(=O)c3ccccc3C=C12,Oxidized,HPGVFUIDBOAEHB-UHFFFAOYSA-N,5.857,-12.80567909,6.058197,-13.140975
22,,COC(=O)C1=CC(=O)C2=Cc3ccccc3C(=O)C2=C1,O=C1C=CC=C2C(=O)c3ccccc3C=C12,Oxidized,QWFNZYCRXRHWIL-UHFFFAOYSA-N,5.894,-13.49673588,6.099787,-13.732365
23,,O=C1C=C(C(F)(F)F)C=C2C(=O)c3ccccc3C=C12,O=C1C=CC=C2C(=O)c3ccccc3C=C12,Oxidized,CXUDOBCSPIKYAI-UHFFFAOYSA-N,5.956,-8.866174759,5.9497557,-9.372282
24,,N#CC1=CC(=O)C2=Cc3ccccc3C(=O)C2=C1,O=C1C=CC=C2C(=O)c3ccccc3C=C12,Oxidized,QNCKLPHFIGAHPS-UHFFFAOYSA-N,5.898,-12.47241802,6.052263,-12.554547
25,,O=C1C=C(C(O)O)C=C2C(=O)c3ccccc3C=C12,O=C1C=CC=C2C(=O)c3ccccc3C=C12,Oxidized,NHLSHKXHQSWNOC-UHFFFAOYSA-N,5.95299999999999,-15.41439706,6.0559497,-15.2499484999999
26,,O=C1C=C(OP(O)O)C=C2C(=O)c3ccccc3C=C12,O=C1C=CC=C2C(=O)c3ccccc3C=C12,Oxidized,BIGGCQHJQGXTRF-UHFFFAOYSA-N,6.111,-18.26847142,6.07766999999999,-18.179882
27,,O=C1C=C(OS(=O)O)C=C2C(=O)c3ccccc3C=C12,O=C1C=CC=C2C(=O)c3ccccc3C=C12,Oxidized,OJTRAVXWWOMVRV-UHFFFAOYSA-N,6.235,-17.3454881,6.1404314,-17.423576
