ID,IUPACName_ox,SMILES_ox,InchIKey_ox,IUPACName_red,SMILES_red,InchIKey_red
1,pyrazine,c1cnccn1,KYQCOXFCLRTKLS-UHFFFAOYSA-N,"1,4-dihydropyrazine",C1=CNC=CN1,XYNBEQAWBCGIMD-UHFFFAOYSA-N
2,"cyclohexa-2,5-diene-1,4-dione",O=C1C=CC(=O)C=C1,AZQWKYJCGOJGHM-UHFFFAOYSA-N,"benzene-1,4-diol",Oc1ccc(O)cc1,QIGBRXMKCJKVMJ-UHFFFAOYSA-N
3,"cyclohexa-3,5-diene-1,2-dione",O=C1C=CC=CC1=O,WOAHJDHKFWSLKE-UHFFFAOYSA-N,"benzene-1,2-diol",Oc1ccccc1O,YCIMNLLNPGFGHC-UHFFFAOYSA-N
4,phthalazine,c1ccc2cnncc2c1,LFSXCDWNBUNEEM-UHFFFAOYSA-N,"2,3-dihydrophthalazine",C1=c2ccccc2=CNN1,SEIZZTOCUDUQNV-UHFFFAOYSA-N
5,chromen-4-one,O=c1ccoc2ccccc12,OTAFHZMPRISVEM-UHFFFAOYSA-N,4H-chromen-4-ol,OC1C=COc2ccccc21,DSQNVVJBWVVVNO-UHFFFAOYSA-N
6,"naphthalene-1,4-dione",O=C1C=CC(=O)c2ccccc21,FRASJONUBLZVQX-UHFFFAOYSA-N,"naphthalene-1,4-diol",Oc1ccc(O)c2ccccc12,PCILLCXFKWDRMK-UHFFFAOYSA-N
7,"naphthalene-1,2-dione",O=C1C=Cc2ccccc2C1=O,KETQAJRQOHHATG-UHFFFAOYSA-N,"naphthalene-1,2-diol",Oc1ccc2ccccc2c1O,NXPPAOGUKPJVDI-UHFFFAOYSA-N
8,"naphthalene-1,7-dione",O=C1C=CC2=CC=CC(=O)C2=C1,MMMBIWJLWVIRIS-UHFFFAOYSA-N,"naphthalene-1,7-diol",Oc1ccc2cccc(O)c2c1,ZUVBIBLYOCVYJU-UHFFFAOYSA-N
9,"naphthalene-2,6-dione",O=C1C=CC2=CC(=O)C=CC2=C1,SLBHRPOLVUEFSG-UHFFFAOYSA-N,"naphthalene-2,6-diol",Oc1ccc2cc(O)ccc2c1,MNZMMCVIXORAQL-UHFFFAOYSA-N
10,"naphthalene-1,5-dione",O=C1C=CC=C2C(=O)C=CC=C12,UKYHUQYCBBUNIA-UHFFFAOYSA-N,"naphthalene-1,5-diol",Oc1cccc2c(O)cccc12,BOKGTLAJQHTOKE-UHFFFAOYSA-N
11,"naphthalene-1,2-dione",O=C1C=Cc2ccccc2C1=O,KETQAJRQOHHATG-UHFFFAOYSA-N,"naphthalene-1,2-diol",Oc1ccc2ccccc2c1O,NXPPAOGUKPJVDI-UHFFFAOYSA-N
12,"naphthalene-2,3-dione",O=C1C=c2ccccc2=CC1=O,BBSQMTKECKKGCW-UHFFFAOYSA-N,"naphthalene-2,3-dione",Oc1cc2ccccc2cc1O,JRNGUTKWMSBIBF-UHFFFAOYSA-N
13,"naphthalene-1,4-dione",O=C1C=CC(=O)c2ccccc21,FRASJONUBLZVQX-UHFFFAOYSA-N,"naphthalene-1,4-diol",Oc1ccc(O)c2ccccc12,PCILLCXFKWDRMK-UHFFFAOYSA-N
14,"2,3-dihydrophthalazine-1,4-dione",O=c1[nH][nH]c(=O)c2ccccc12,KGLPWQKSKUVKMJ-UHFFFAOYSA-N,"2,3-dihydrophthalazine-1,4-diol",OC1=c2ccccc2=C(O)NN1,QJWRXCVSCXCZOG-UHFFFAOYSA-N
15,phenazine,c1ccc2nc3ccccc3nc2c1,PCNDJXKNXGMECE-UHFFFAOYSA-N,"5,10-dihydrophenazine",c1ccc2c(c1)Nc1ccccc1N2,IVURTNNWJAPOML-UHFFFAOYSA-N
16,fluoren-9-one,O=C1c2ccccc2-c2ccccc21,YLQWCDOCJODRMT-UHFFFAOYSA-N,9H-fluoren-9-ol,OC1c2ccccc2-c2ccccc21,AFMVESZOYKHDBJ-UHFFFAOYSA-N
17,"acenaphthylene-1,2-dione",O=C1C(=O)c2cccc3cccc1c23,AFPRJLBZLPBTPZ-UHFFFAOYSA-N,"acenaphthylene-1,2-diol",OC1=C(O)c2cccc3cccc1c23,NSBCFWWGIUOFIF-UHFFFAOYSA-N
18,"4-(4-oxocyclohexa-2,5-dien-1-ylidene)cyclohexa-2,5-dien-1-one",O=C1C=CC(=C2C=CC(=O)C=C2)C=C1,DDTHMESPCBONDT-UHFFFAOYSA-N,4-(4-hydroxyphenyl)phenol,Oc1ccc(-c2ccc(O)cc2)cc1,VCCBEIPGXKNHFW-UHFFFAOYSA-N
19,xanthen-9-one,O=c1c2ccccc2oc2ccccc12,JNELGWHKGNBSMD-UHFFFAOYSA-N,9H-xanthen-9-ol,OC1c2ccccc2Oc2ccccc21,JFRMYMMIJXLMBB-UHFFFAOYSA-N
20,10H-phenothiazin-5-ium,c1ccc2c(c1)[NH2+]c1ccccc1S2,WJFKNYWRSNBZNX-UHFFFAOYSA-O,10H-phenothiazine,c1ccc2c(c1)Nc1ccccc1S2,WJFKNYWRSNBZNX-UHFFFAOYSA-N
