ID,IUPACName,SMILES,CoreSMILES,State,InChIKey,Hammett_sigma,QQ.(VvsNHE),Q.Q=(VvsNHE)
1,"cyclohexa-2,5-diene-1,4-dione",O=C1C=CC(=O)C=C1,O=C1C=CC(=O)C=C1,Oxidized,AZQWKYJCGOJGHM-UHFFFAOYSA-N,,-0.161,-0.915
2,"1-benzothiophene-4,7-dione",O=C1C=CC(=O)c2sccc21,,,NKUJIXWGYKYYFL-UHFFFAOYSA-N,,-0.201,-1.021
3,"naphthalene-1,4-dione",O=C1C=CC(=O)c2ccccc21,O=C1C=CC(=O)c2ccccc21,Oxidized,FRASJONUBLZVQX-UHFFFAOYSA-N,,-0.341,-1.07
4,"anthracene-1,4-dione",O=C1C=CC(=O)c2cc3ccccc3cc21,O=C1C=CC(=O)c2cc3ccccc3cc21,Oxidized,LSOTZYUVGZKSHR-UHFFFAOYSA-N,,-0.4,-1.142
5,"anthracene-9,10-dione",O=C1c2ccccc2C(=O)c2ccccc21,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,RZVHIXYEVGDQDX-UHFFFAOYSA-N,,-0.591,-1.203
6,"pentacene-6,13-dione",O=C1c2cc3ccccc3cc2C(=O)c2cc3ccccc3cc21,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,UFCVADNIXDUEFZ-UHFFFAOYSA-N,,-0.796,-1.251
7,"cyclohexa-3,5-diene-1,2-dione",O=C1C=CC=CC1=O,O=C1C=CC=CC1=O,Oxidized,WOAHJDHKFWSLKE-UHFFFAOYSA-N,,-0.05,-0.765
8,"naphthalene-1,2-dione",O=C1C=Cc2ccccc2C1=O,O=C1C=Cc2ccccc2C1=O,Oxidized,KETQAJRQOHHATG-UHFFFAOYSA-N,,-0.248,-1.004
9,"phenanthrene-9,10-dione",O=C1C(=O)c2ccccc2-c2ccccc21,O=C1C(=O)c2ccccc2-c2ccccc21,Oxidized,YYVYAPXYZVYDHN-UHFFFAOYSA-N,,-0.33,-0.944
10,"acenaphthylene-1,2-dione",O=C1C(=O)c2cccc3cccc1c23,O=C1C(=O)c2cccc3cccc1c23,Oxidized,AFPRJLBZLPBTPZ-UHFFFAOYSA-N,,-0.604,-1.523
11,"1,10-phenanthroline-5,6-dione",O=C1C(=O)c2cccnc2-c2ncccc21,O=C1C(=O)c2cccnc2-c2ncccc21,Oxidized,KCALAFIVPCAXJI-UHFFFAOYSA-N,,-0.146,-0.866
12,"3,6-dioxocyclohexa-1,4-diene-1-carbonitrile",N#CC1=CC(=O)C=CC1=O,O=C1C=CC(=O)C=C1,Oxidized,RNKGDBXXIBUOTR-UHFFFAOYSA-N,0.66,0.25,-0.556
13,"3,6-dioxocyclohexa-1,4-diene-1,2-dicarbonitrile",N#CC1=C(C#N)C(=O)C=CC1=O,O=C1C=CC(=O)C=C1,Oxidized,DNXUGBMARDFRGG-UHFFFAOYSA-N,1.32,0.643,-0.226
14,"4,5-dichloro-3,6-dioxocyclohexa-1,4-diene-1,2-dicarbonitrile",N#CC1=C(C#N)C(=O)C(Cl)=C(Cl)C1=O,O=C1C=CC(=O)C=C1,Oxidized,HZNVUJQVZSTENZ-UHFFFAOYSA-N,1.78,0.837,-0.018
15,"2-chlorocyclohexa-2,5-diene-1,4-dione",O=C1C=CC(=O)C(Cl)=C1,O=C1C=CC(=O)C=C1,Oxidized,WOGWYSWDBYCVDY-UHFFFAOYSA-N,0.23,0.028,-0.833
16,"2-bromo-5-tert-butylcyclohexa-2,5-diene-1,4-dione",CC(C)(C)C1=CC(=O)C(Br)=CC1=O,O=C1C=CC(=O)C=C1,Oxidized,NTMPXCVVVHLEOJ-UHFFFAOYSA-N,0.03,-0.069,-0.989
17,"2-bromo-6-methylcyclohexa-2,5-diene-1,4-dione",CC1=CC(=O)C=C(Br)C1=O,O=C1C=CC(=O)C=C1,Oxidized,WTTXPOKQAYXZIK-UHFFFAOYSA-N,0.06,-0.044,-0.864
18,,CC(C)C1=CC(=O)C=C(I)C1=O,O=C1C=CC(=O)C=C1,Oxidized,UKQCMQSLWRDJJE-UHFFFAOYSA-N,0.03,-0.162,-1.03
